번호,커멘트
1,먹거리가 딱히 ..ㅎㅎ 가격도 좀 비싸고요
3,"스키장 외엔 별로입니다.
블로그등 광고를 통해 많이 홍보해주세요"
4,관광콘텐츠. 평칭만의 특별한 관광콘텐츠개발이 필요함. 모든연령층의 이목을 주목시킬만한것이 필요. 먹거리나 볼거리가 너무진부함
5,그지역에서만 비교적 저렴한가격으로 맛볼수있는 먹거리가 있었으면 합니다.
6,"평창하면 올림픽인데
딱히 이것밖에 없다는 이미지가 강한거같아요.
코로나19로 제약이 많지만
상황이 좋아진다면
즐길거리가 많았으면 합니다.
"
7,자연친화적인 도시라 참 기대가 되나 관광을 목적으로 너무 사람이 몰리는 곳은 몰려 힘듭니드
8,가족과함께즐길수있는 짧은코스들의 개발
9,아이들이 체험할 수 있는 곳들이 많아졌으면 좋겠다.
10,가족들이 함께 즐길수있는 즐길거리가 필요해요
12,더 많은 분들이 오시길 바라며 홍보 부탁드립니다
14,평창을 대표할만한 음식은 홍보가 덜된거같아 식도락여행면에선 아쉬웠어요
15,교통이 불편해요
17,"볼거리와 즐길거리 먹을거리가 너무 없고 
너무 너무 각각 떨어져있기도 하고
평창..볼게 너무 없었습니다."
18,더 즐길거리가 필요해요
19,바가지요금 근절
23,기본적인 물가가 비싸기도 하고 유흥시설들이 잘 되어 있지 않아 밤에는 특별히 할게 없음
24,아름다운 자연 훼손 없이 개발했으면 합니다.
25,근접 지역보다 관광컨텐츠가 적은 느낌이에요. 풍성한 볼거리 만들어주세요^^
26,올림픽으로 접근도 좋아짐 지역상품 개발 필요해 보임(맛집 거리 등)
28,쉬운 교통성과 힐링할수 있는 프로그램이 더 생겼으면 좋겠습니다.
30,지금 코로나로 인해 여행을 많이 못다녔는데 앞으로  지역 축제 위주로 많이 즐길거리가 더 생겼으면 좋겠습니다
31,올림픽 개최지역으로서 기존의 올림픽 시설들이 계속 잘 사용될수있어야한다
32,대표 맛집 홍보
33,힐링되는곳많은데 홍보좀 많이해주세요~~
34,먹을거리. 즐길거리가 여행 한번에 해결될수 있는 것들이 많았으면 좋겠네요.
35,"조금 더 홍보가 되고, 연계상품이 많으면 좋겠습니다."
